"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 2","5007276, 5019495","5002370, 5015246","21-23 / 24-22 / 21-14","21-23 "," 24-22 "," 21-14","","",21,23,24,22,21,14,,,,,2,1,66,59,8,4
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 2","5009617, 5026468","5026915, 5042108","21-16 / 21-18","21-16 "," 21-18","","","",21,16,21,18,,,,,,,2,0,42,34,8,4
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 2","5036163, 5037031","5009175, 5011089","21-23 / 21-19 / 21-19","21-23 "," 21-19 "," 21-19","","",21,23,21,19,21,19,,,,,2,1,63,61,8,4
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 2","5030331, 5034930","5036131, 5038746","21-16 / 21-18","21-16 "," 21-18","","","",21,16,21,18,,,,,,,2,0,42,34,8,4
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 2","5037433, 5041264","5023057, 5036040","21-11 / 21-6","21-Nov"," 21-6","","","",21,11,21,6,,,,,,,2,0,42,17,8,4
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 1","5036131, 5038746","5040459, 5043014","21-15 / 11-21 / 21-8","21-15 "," 11-21 "," 21-8","","",21,15,11,21,21,8,,,,,2,1,53,44,8,4
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 1","5005500, 5047406","5005191, 5036387","21-16 / 21-14","21-16 "," 21-14","","","",21,16,21,14,,,,,,,2,0,42,30,8,4
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 1","5036163, 5037031","5002489, 5022798","21-18 / 21-15","21-18 "," 21-15","","","",21,18,21,15,,,,,,,2,0,42,33,8,4
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 1","5002097, 5039226","5024182, 5034442","21-15 / 19-21 / 21-17","21-15 "," 19-21 "," 21-17","","",21,15,19,21,21,17,,,,,2,1,61,53,8,4
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 1","5042475, 5043953","5011134, 5042013","21-15 / 21-16","21-15 "," 21-16","","","",21,15,21,16,,,,,,,2,0,42,31,8,4
"Apr-19","AC","Asia Championships 2019",12643,"MD","Round 1","5037433, 5041264","5004399, 5030970","21-12 / 21-15","21-Dec"," 21-15","","","",21,12,21,15,,,,,,,2,0,42,27,8,4
"Jun-19","EG","European Games 2019",13867,"MD","Final","5026128, 5043452","5007612, 5045957","21-17 / 21-10","21-17 "," 21-10","","","",21,17,21,10,,,,,,,2,0,42,27,8,10
"Jun-19","EG","European Games 2019",13867,"MD","Semi final","5026128, 5043452","5007204, 5030449","21-18 / 21-16","21-18 "," 21-16","","","",21,18,21,16,,,,,,,2,0,42,34,8,8
"Jun-19","EG","European Games 2019",13867,"MD","Semi final","5007612, 5045957","5029818, 5041370","21-17 / 21-17","21-17 "," 21-17","","","",21,17,21,17,,,,,,,2,0,42,34,8,8
"Jun-19","EG","European Games 2019",13867,"MD","Quarter final","5007204, 5030449","5028974, 5031705","16-21 / 21-17 / 21-18","16-21 "," 21-17 "," 21-18","","",16,21,21,17,21,18,,,,,2,1,58,56,8,6
"Jun-19","EG","European Games 2019",13867,"MD","Group A","5007612, 5045957","5007204, 5030449","22-20 / 21-12","22-20 "," 21-12","","","",22,20,21,12,,,,,,,2,0,43,32,8,2
"Jun-19","EG","European Games 2019",13867,"MD","Group B","5026128, 5043452","5007608, 5036698","21-11 / 21-13","21-Nov"," 21-13","","","",21,11,21,13,,,,,,,2,0,42,24,8,2
