"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Round 1","5045257","5048026","15-10 / 10-15 / 15-8","15-Oct"," 10-15 "," 15-8","","",15,10,10,15,15,8,NA,NA,NA,NA,2,1,40,33,7,4
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Round 1","5045258","5010741","15-7 / 7-15 / 15-3","15-Jul"," 7-15 "," 15-3","","",15,7,7,15,15,3,NA,NA,NA,NA,2,1,37,25,7,4
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Final","5034124","5041196","15-7 / 6-15 / 15-9","15-Jul"," 6-15 "," 15-9","","",15,7,6,15,15,9,NA,NA,NA,NA,2,1,36,31,7,10
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Semi final","5041196","5040984","15-10 / 17-15","15-Oct"," 17-15","","","",15,10,17,15,NA,NA,NA,NA,NA,NA,2,0,32,25,7,8
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Quarter final","5034124","5047961","15-5 / 15-4","15-May"," 15-4","","","",15,5,15,4,NA,NA,NA,NA,NA,NA,2,0,30,9,7,6
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Quarter final","5040984","5046076","15-9 / 15-0","15-Sep"," 15-0","","","",15,9,15,0,NA,NA,NA,NA,NA,NA,2,0,30,9,7,6
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Round 3","5050244","5052970","18-15 / 17-15","18-15 "," 17-15","","","",18,15,17,15,NA,NA,NA,NA,NA,NA,2,0,35,30,7,4
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Round 3","5046076","5047853","15-8 / 14-17 / 15-7","15-Aug"," 14-17 "," 15-7","","",15,8,14,17,15,7,NA,NA,NA,NA,2,1,44,32,7,4
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Round 3","5047961","5051712","15-5 / 15-10","15-May"," 15-10","","","",15,5,15,10,NA,NA,NA,NA,NA,NA,2,0,30,15,7,4
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Round 1","5045258","5039462","15-11 / 15-11","15-Nov"," 15-11","","","",15,11,15,11,NA,NA,NA,NA,NA,NA,2,0,30,22,7,4
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Round 1","5052970","5048211","17-14 / 15-9","17-14 "," 15-9","","","",17,14,15,9,NA,NA,NA,NA,NA,NA,2,0,32,23,7,4
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Round 1","5040984","5010741","15-6 / 15-4","15-Jun"," 15-4","","","",15,6,15,4,NA,NA,NA,NA,NA,NA,2,0,30,10,7,4
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Qual Round 1","5039462","5046080","7-15 / 15-5 / 15-4","Jul-15"," 15-5 "," 15-4","","",7,15,15,5,15,4,NA,NA,NA,NA,2,1,37,24,7,2
1992-09-01,"STAR4","Singapore Open 1992",11125,"MS","Semi final","5034124","5052970","12-15 / 15-8 / 15-2","Dec-15"," 15-8 "," 15-2","","",12,15,15,8,15,2,NA,NA,NA,NA,2,1,42,25,6,8
1992-09-01,"STAR4","Singapore Open 1992",11125,"MS","Quarter final","5052970","5048691","15-10 / 15-7","15-Oct"," 15-7","","","",15,10,15,7,NA,NA,NA,NA,NA,NA,2,0,30,17,6,6
1992-09-01,"STAR4","Singapore Open 1992",11125,"MS","Quarter final","5034124","5051712","15-6 / 18-13","15-Jun"," 18-13","","","",15,6,18,13,NA,NA,NA,NA,NA,NA,2,0,33,19,6,6
1992-09-01,"STAR4","Singapore Open 1992",11125,"MS","Round 3","5046076","5010741","15-18 / 15-5 / 15-3","15-18 "," 15-5 "," 15-3","","",15,18,15,5,15,3,NA,NA,NA,NA,2,1,45,26,6,4
1992-09-01,"STAR4","Singapore Open 1992",11125,"MS","Round 3","5051712","5048046","15-6 / 15-10","15-Jun"," 15-10","","","",15,6,15,10,NA,NA,NA,NA,NA,NA,2,0,30,16,6,4
1992-09-01,"STAR4","Singapore Open 1992",11125,"MS","Round 2","5046076","5012174","15-10 / 15-8","15-Oct"," 15-8","","","",15,10,15,8,NA,NA,NA,NA,NA,NA,2,0,30,18,6,4
1992-09-01,"STAR4","Singapore Open 1992",11125,"MS","Round 2","5034124","5048020","15-6 / 15-9","15-Jun"," 15-9","","","",15,6,15,9,NA,NA,NA,NA,NA,NA,2,0,30,15,6,4
