"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Nov-93","STAR4","China Open 1993",13514,"XD","Semi final","5045379, 5047031","5045110, 5046616","17-18 / 18-16 / 15-5","17-18 "," 18-16 "," 15-5","","",17,18,18,16,15,5,,,,,2,1,50,39,6,8
"Nov-93","STAR4","China Open 1993",13514,"XD","Semi final","5046301, 5052046","5045377, 5047055","15-12 / 15-3","15-Dec"," 15-3","","","",15,12,15,3,,,,,,,2,0,30,15,6,8
"Nov-93","STAR4","China Open 1993",13514,"XD","Quarter final","5045377, 5047055","5030767, 5047345","15-8 / 5-15 / 18-15","15-Aug"," 5-15 "," 18-15","","",15,8,5,15,18,15,,,,,2,1,38,38,6,6
"Nov-93","STAR4","China Open 1993",13514,"XD","Round 2","5045110, 5046616","5014001, 5055411","15-2 / 8-15 / 15-8","15-Feb"," 8-15 "," 15-8","","",15,2,8,15,15,8,,,,,2,1,38,25,6,4
"Nov-93","STAR4","China Open 1993",13514,"XD","Round 2","5030767, 5047345","5050027, 5053521","11-15 / 15-12 / 15-3","Nov-15"," 15-12 "," 15-3","","",11,15,15,12,15,3,,,,,2,1,41,30,6,4
"Dec-93","GPF","World Grand Prix Final 1993",10665,"XD","Final","5021791, 5046844","5045944, 5055570","15-9 / 15-7","15-Sep"," 15-7","","","",15,9,15,7,,,,,,,2,0,30,16,9,10
"Dec-93","GPF","World Grand Prix Final 1993",10665,"XD","Semi final","5021791, 5046844","5046994, 5049289","15-9 / 15-18 / 15-4","15-Sep"," 15-18 "," 15-4","","",15,9,15,18,15,4,,,,,2,1,45,31,9,8
"Dec-93","GPF","World Grand Prix Final 1993",10665,"XD","Semi final","5045944, 5055570","5042983, 5050334","15-7 / 15-6","15-Jul"," 15-6","","","",15,7,15,6,,,,,,,2,0,30,13,9,8
"Jan-94","STAR4","Chinese Taipei Open 1994",10557,"XD","Semi final","5042983, 5050334","5046994, 5049289","15-9 / 15-2","15-Sep"," 15-2","","","",15,9,15,2,,,,,,,2,0,30,11,6,8
"Jan-94","STAR4","Chinese Taipei Open 1994",10557,"XD","Quarter final","5048584, 5049765","5046529, 5052951","15-2 / 17-18 / 15-8","15-Feb"," 17-18 "," 15-8","","",15,2,17,18,15,8,,,,,2,1,47,28,6,6
"Jan-94","STAR4","Chinese Taipei Open 1994",10557,"XD","Quarter final","5042983, 5050334","5030767, 5047345","15-10 / 15-13","15-Oct"," 15-13","","","",15,10,15,13,,,,,,,2,0,30,23,6,6
"Jan-94","STAR4","Chinese Taipei Open 1994",10557,"XD","Round 2","5046994, 5049289","5050083, 5055012","15-12 / 15-12","15-Dec"," 15-12","","","",15,12,15,12,,,,,,,2,0,30,24,6,4
"Jan-94","STAR4","Chinese Taipei Open 1994",10557,"XD","Round 1","5048584, 5049765","5045379, 5047031","15-7 / 15-0","15-Jul"," 15-0","","","",15,7,15,0,,,,,,,2,0,30,7,6,4
"Jan-94","STAR4","Chinese Taipei Open 1994",10557,"XD","Round 1","5036319, 5047221","5045377, 5047055","15-12 / 12-15 / 15-5","15-Dec"," 12-15 "," 15-5","","",15,12,12,15,15,5,,,,,2,1,42,32,6,4
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Quarter final","5046529, 5052951","5045377, 5047055","15-7 / 15-13","15-Jul"," 15-13","","","",15,7,15,13,,,,,,,2,0,30,20,7,6
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Quarter final","5021791, 5055017","5045944, 5048629","15-5 / 15-8","15-May"," 15-8","","","",15,5,15,8,,,,,,,2,0,30,13,7,6
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Quarter final","5042983, 5050334","5014001, 5055411","15-7 / 15-12","15-Jul"," 15-12","","","",15,7,15,12,,,,,,,2,0,30,19,7,6
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Round 3","5046529, 5052951","5045288, 5049927","15-1 / 15-6","15-Jan"," 15-6","","","",15,1,15,6,,,,,,,2,0,30,7,7,4
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Round 3","5042983, 5050334","5036319, 5047221","15-9 / 18-14","15-Sep"," 18-14","","","",15,9,18,14,,,,,,,2,0,33,23,7,4
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Round 3","5021791, 5055017","5045379, 5047031","8-15 / 17-16 / 15-7","Aug-15"," 17-16 "," 15-7","","",8,15,17,16,15,7,,,,,2,1,40,38,7,4
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Round 3","5045944, 5048629","5050027, 5053521","15-9 / 8-15 / 15-11","15-Sep"," 8-15 "," 15-11","","",15,9,8,15,15,11,,,,,2,1,38,35,7,4
