"Player","Rating","Rank"
"5020957, 5028423",1358.82071598188,349
"5003005, 5004901",1357.57204844247,350
"5044284, 5046648",1356.59611818449,351
"5028970, 5032012",1355.62073708467,352
"5048521, 5053873",1355.58105394039,353
"5023586, 5040741",1353.21570732322,354
"5007963, 5054390",1351.56155222321,355
"5011214, 5015350",1351.24821769255,356
"5003238, 5040836",1349.58027508226,357
"5044494, 5046842",1347.22629767995,358
"5042013, 5043556",1346.0203192027,359
"5043301, 5044175",1345.84789449554,360
"5047026, 5055169",1344.4969315291,361
"5042803, 5042816",1344.30999805855,362
"5042275, 5047633",1343.10649116304,363
"5041602, 5054566",1342.87866281237,364
"5008113, 5050995",1341.58674196633,365
"5029160, 5051503",1339.28513295911,366
"5051230, 5052947",1338.67651302293,367
"5026864, 5030449",1338.36974763197,368
"5009535, 5046254",1328.89189252849,369
"5027457, 5055508",1325.29848633665,370
"5035067, 5049533",1324.10363413112,371
"5041221, 5041248",1323.78711179678,372
"5007107, 5010747",1314.43821513007,373
"5015350, 5031705",1314.3015216255,374
"5045145, 5055028",1311.94169510059,375
"5011103, 5048726",1311.42738118049,376
"5041363, 5050445",1311.28685958552,377
"5040035, 5043740",1308.07965663707,378
"5000559, 5040834",1307.79881546062,379
"5043263, 5043689",1304.76249040694,380
"5042086, 5043014",1301.43601811757,381
"5008686, 5014310",1299.73079840423,382
"5010932, 5037479",1297.8844433637,383
"5020355, 5045078",1296.05495418649,384
"5042450, 5047266",1290.82747336271,385
"5039872, 5043429",1286.64176118447,386
"5016094, 5018289",1285.16506957537,387
"5017179, 5017292",1257.01357101109,388
"5019888, 5029143",1242.27496811967,389
